d,T,K,u,time_simu
1.0,0.2,10.0,0.9932653393147142,107.206880065
1.0,0.2,10.0,0.9930552821008273,108.938435797
1.0,0.2,10.0,0.9931027758889144,104.861408929
1.0,0.2,10.0,0.9934651655738512,105.569789508
1.0,0.2,10.0,0.9930383763791337,107.048878517
1.0,0.5,10.0,0.9869818651151469,105.178962657
1.0,0.5,10.0,0.9868298312642076,103.60348852
1.0,0.5,10.0,0.9857669846167803,106.177518485
1.0,0.5,10.0,0.9890952874061176,97.189213301
1.0,0.5,10.0,0.9864117035847341,104.119332949
1.0,1.0,10.0,0.9918255750382929,97.233800532
1.0,1.0,10.0,0.9859939646248029,107.629158729
1.0,1.0,10.0,0.9852238295775563,107.97819614
1.0,1.0,10.0,0.9719669668937551,96.376221406
1.0,1.0,10.0,0.9813499065767256,106.567182175
2.0,0.2,10.0,0.987429233600216,110.667621183
2.0,0.2,10.0,0.9871712488276413,111.693005855
2.0,0.2,10.0,0.9867036188525128,109.044965906
2.0,0.2,10.0,0.9865281864013842,109.339612688
2.0,0.2,10.0,0.9870952734007934,107.070986574
2.0,0.5,10.0,0.9782493203621204,98.356771652
2.0,0.5,10.0,0.9759869475991811,108.785625688
2.0,0.5,10.0,0.9747040665532379,105.458097944
2.0,0.5,10.0,0.9720535107756989,106.275499494
2.0,0.5,10.0,0.977627019758594,97.304524816
2.0,1.0,10.0,0.9561884853205822,94.202601074
2.0,1.0,10.0,0.9600239152787896,103.486125373
2.0,1.0,10.0,0.9878676812103965,93.94097554
2.0,1.0,10.0,0.9577835063270328,104.469520695
2.0,1.0,10.0,0.9725683300648393,103.167058121
5.0,0.2,10.0,0.9705430298363026,131.755246103
5.0,0.2,10.0,0.971106470094395,132.422503284
5.0,0.2,10.0,0.9703624316416675,132.396662363
5.0,0.2,10.0,0.9707272485006744,121.699916024
5.0,0.2,10.0,0.9705641832892875,131.200395353
5.0,0.5,10.0,0.9416088889362298,129.319658935
5.0,0.5,10.0,0.9410290649218748,118.377298402
5.0,0.5,10.0,0.9414906341204533,128.886530913
5.0,0.5,10.0,0.9390974768696687,130.378205221
5.0,0.5,10.0,0.9428552249060106,131.074468447
5.0,1.0,10.0,0.8998192812300151,119.920078237
5.0,1.0,10.0,0.9280343794437811,122.613245318
5.0,1.0,10.0,0.9067577101076348,130.706368761
5.0,1.0,10.0,0.9146444791026149,122.800756372
5.0,1.0,10.0,0.9228842869868529,126.246271096
10.0,0.2,10.0,0.9518018651886855,161.746291272
10.0,0.2,10.0,0.9510073153111414,163.542064751
10.0,0.2,10.0,0.9508734077085863,169.765150677
10.0,0.2,10.0,0.9509012078217701,170.84576269
10.0,0.2,10.0,0.9505560898421497,167.538543412
10.0,0.5,10.0,0.9011369462951287,169.635060532
10.0,0.5,10.0,0.9048580943823606,160.220764941
10.0,0.5,10.0,0.9066780162265541,170.39678114
10.0,0.5,10.0,0.9001187124825037,170.545908465
10.0,0.5,10.0,0.9017379301629072,169.083935781
10.0,1.0,10.0,0.8654713146705265,188.247337373
10.0,1.0,10.0,0.8975609218763996,153.61442531
10.0,1.0,10.0,0.9058725513949736,160.467095716
10.0,1.0,10.0,0.8674029576512136,164.22733235
10.0,1.0,10.0,0.8637183449867011,164.583720476
